Major,Price,Day,Var_porc,Weekly,Monthly,YTD,YoY,Date,date_create,date_update
EURUSD,1.12339,0.00191,-0.17%,-0.71%,-1.03%,8.45%,4.09%,May/12,2025-11-04,2025-11-04
GBPUSD,1.32936,0.00115,-0.09%,0.00%,0.79%,6.19%,5.84%,May/12,2025-11-04,2025-11-04
AUDUSD,0.64218,0.00045,0.07%,-0.72%,1.56%,3.75%,-2.86%,May/12,2025-11-04,2025-11-04
NZDUSD,0.59223,0.00092,0.16%,-0.72%,0.60%,5.89%,-1.67%,May/12,2025-11-04,2025-11-04
USDJPY,145.793,0.462,0.32%,1.46%,1.87%,-7.35%,-6.68%,May/12,2025-11-04,2025-11-04
USDCNY,7.22566,0.01486,-0.21%,0.34%,-1.18%,-1.52%,-0.19%,May/12,2025-11-04,2025-11-04
USDCHF,0.83374,0.00315,0.38%,1.39%,2.29%,-8.12%,-8.18%,May/12,2025-11-04,2025-11-04
USDCAD,1.39234,0.00151,-0.11%,0.71%,0.35%,-3.16%,1.88%,May/12,2025-11-04,2025-11-04
USDMXN,19.4378,0.0072,-0.04%,-1.30%,-3.22%,-6.77%,15.73%,May/12,2025-11-04,2025-11-04
USDINR,85.4309,0.6633,-0.77%,0.90%,-0.98%,-0.17%,2.24%,May/09,2025-11-04,2025-11-04
USDBRL,5.65500,0.00700,-0.12%,-0.05%,-3.91%,-8.56%,9.63%,May/09,2025-11-04,2025-11-04
USDRUB,82.5000,0.0900,0.11%,-0.30%,-1.19%,-27.31%,-10.57%,May/09,2025-11-04,2025-11-04
USDKRW,1396.15,8.67,-0.62%,1.51%,-1.71%,-5.55%,2.28%,May/11,2025-11-04,2025-11-04
DXY,100.339,0.301,-0.30%,0.48%,0.44%,-7.51%,-4.62%,May/11,2025-11-04,2025-11-04
USDTRY,38.7493,0.0309,0.08%,1.13%,1.90%,9.66%,20.11%,May/11,2025-11-04,2025-11-04
USDSEK,9.71580,0.00265,0.03%,0.57%,-0.62%,-12.18%,-10.34%,May/12,2025-11-04,2025-11-04
USDPLN,3.77083,0.01022,0.27%,-0.05%,-0.06%,-8.71%,-5.03%,May/12,2025-11-04,2025-11-04
USDNOK,10.37875,0.00895,0.09%,-0.13%,-1.82%,-8.83%,-3.98%,May/12,2025-11-04,2025-11-04
USDZAR,18.2058,0.0519,0.29%,-0.28%,-3.54%,-3.42%,-0.80%,May/11,2025-11-04,2025-11-04
USDDKK,6.64228,0.01218,0.18%,0.71%,0.96%,-7.74%,-3.91%,May/12,2025-11-04,2025-11-04
USDSGD,1.29737,0.00051,-0.04%,0.55%,-1.43%,-5.00%,-4.11%,May/12,2025-11-04,2025-11-04
USDILS,3.54259,0.00506,-0.14%,-2.11%,-3.81%,-2.61%,-4.51%,May/12,2025-11-04,2025-11-04
USDHKD,7.77766,0.00097,-0.01%,0.36%,0.28%,0.14%,-0.44%,May/12,2025-11-04,2025-11-04
USDCLP,934.000,7.510,-0.80%,-1.28%,-5.60%,-6.08%,0.77%,May/09,2025-11-04,2025-11-04
USDPKR,281.200,1.050,-0.37%,0.03%,0.21%,1.01%,1.14%,May/09,2025-11-04,2025-11-04
USDCZK,22.2008,0.0516,0.23%,0.77%,0.42%,-8.74%,-3.36%,May/12,2025-11-04,2025-11-04
USDHUF,359.568,0.258,0.07%,0.83%,-0.50%,-9.47%,0.35%,May/12,2025-11-04,2025-11-04
