Major,Price,Day,Var_porc,Weekly,Monthly,YTD,YoY,Date,date_create,date_update
EURUSD,1.13354,0.00030,0.03%,1.32%,0.17%,9.43%,4.85%,May/22,2025-11-04,2025-11-04
GBPUSD,1.34277,0.00080,0.06%,0.92%,1.32%,7.26%,5.79%,May/22,2025-11-04,2025-11-04
AUDUSD,0.64406,0.00050,0.07%,0.53%,1.28%,4.06%,-2.42%,May/22,2025-11-04,2025-11-04
NZDUSD,0.59243,0.00201,-0.34%,0.87%,-0.52%,5.92%,-2.81%,May/22,2025-11-04,2025-11-04
USDJPY,143.268,0.410,-0.29%,-1.65%,-0.13%,-8.95%,-8.74%,May/22,2025-11-04,2025-11-04
USDCNY,7.20266,0.00140,-0.02%,-0.04%,-1.12%,-1.84%,-0.76%,May/22,2025-11-04,2025-11-04
USDCHF,0.82441,0.00130,-0.16%,-1.38%,-0.82%,-9.15%,-9.84%,May/22,2025-11-04,2025-11-04
USDCAD,1.38511,0.00090,-0.06%,-0.77%,-0.22%,-3.66%,0.86%,May/22,2025-11-04,2025-11-04
USDMXN,19.3577,0.0185,-0.10%,-0.70%,-1.41%,-7.16%,15.69%,May/22,2025-11-04,2025-11-04
USDINR,85.5470,0.0548,-0.06%,0.13%,0.06%,-0.04%,2.71%,May/22,2025-11-04,2025-11-04
USDBRL,5.64550,0.00050,-0.01%,-0.66%,-1.13%,-8.71%,9.74%,May/22,2025-11-04,2025-11-04
USDRUB,79.7500,0.8750,-1.09%,-0.78%,-2.18%,-29.73%,-11.45%,May/21,2025-11-04,2025-11-04
USDKRW,1380.00,5.17,0.38%,-1.29%,-3.32%,-6.65%,0.99%,May/22,2025-11-04,2025-11-04
DXY,99.522,0.037,-0.04%,-1.35%,-0.32%,-8.26%,-5.27%,May/22,2025-11-04,2025-11-04
USDTRY,38.8363,0.0213,0.05%,0.44%,1.43%,9.91%,20.51%,May/22,2025-11-04,2025-11-04
USDSEK,9.56210,0.01760,-0.18%,-1.69%,-1.38%,-13.57%,-10.96%,May/22,2025-11-04,2025-11-04
USDPLN,3.74296,0.00150,-0.04%,-1.37%,-1.10%,-9.38%,-5.07%,May/22,2025-11-04,2025-11-04
USDNOK,10.16572,0.00960,-0.09%,-2.39%,-3.40%,-10.70%,-4.72%,May/22,2025-11-04,2025-11-04
USDZAR,17.9780,0.0249,0.14%,-0.16%,-3.65%,-4.63%,-2.67%,May/22,2025-11-04,2025-11-04
USDDKK,6.57985,0.00260,-0.04%,-1.33%,-0.27%,-8.60%,-4.65%,May/22,2025-11-04,2025-11-04
USDSGD,1.28878,0.00040,-0.03%,-0.68%,-2.12%,-5.63%,-4.66%,May/22,2025-11-04,2025-11-04
USDILS,3.54864,0.00700,-0.20%,-0.22%,-2.81%,-2.44%,-3.57%,May/22,2025-11-04,2025-11-04
USDHKD,7.82594,0.00610,-0.08%,0.25%,0.85%,0.76%,0.22%,May/22,2025-11-04,2025-11-04
USDCLP,943.700,1.040,0.11%,0.26%,-0.93%,-5.10%,3.90%,May/21,2025-11-04,2025-11-04
USDPKR,282.162,0.412,0.15%,0.20%,0.47%,1.36%,1.31%,May/22,2025-11-04,2025-11-04
USDCZK,21.9605,0.0123,-0.06%,-1.49%,-0.66%,-9.73%,-3.96%,May/22,2025-11-04,2025-11-04
USDHUF,355.245,0.412,-0.12%,-1.29%,-1.61%,-10.56%,-0.52%,May/22,2025-11-04,2025-11-04
